0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:36:41 +0600] "GET /Frozen_Food_Ordering_System/myCart.jsp HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:36:43 +0600] "GET /Frozen_Food_Ordering_System/home.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:36:45 +0600] "GET /Frozen_Food_Ordering_System/addToCartAction.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:36:45 +0600] "GET /Frozen_Food_Ordering_System/home.jsp?msg=added HTTP/1.1" 200 3493
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:36:47 +0600] "GET /Frozen_Food_Ordering_System/myCart.jsp HTTP/1.1" 200 3135
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:36:57 +0600] "GET /Frozen_Food_Ordering_System/addressPaymentForOrder.jsp HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:36:57 +0600] "GET /Frozen_Food_Ordering_System/css/addressPaymentForOrder-style.css HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:41:30 +0600] "GET /Frozen_Food_Ordering_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:41:30 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:41:38 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:41:38 +0600] "GET /Frozen_Food_Ordering_System/admin/adminHome.jsp HTTP/1.1" 200 1567
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:43:40 +0600] "GET /Frozen_Food_Ordering_System/admin/addNewProduct.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:45:24 +0600] "POST /Frozen_Food_Ordering_System/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:45:24 +0600] "GET /Frozen_Food_Ordering_System/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:45:56 +0600] "GET /Frozen_Food_Ordering_System/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:56:28 +0600] "GET /Frozen_Food_Ordering_System/myCart.jsp HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:56:45 +0600] "GET /Frozen_Food_Ordering_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:56:45 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:57:02 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:57:02 +0600] "GET /Frozen_Food_Ordering_System/login.jsp?msg=notexist HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:57:14 +0600] "POST /Frozen_Food_Ordering_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:57:14 +0600] "GET /Frozen_Food_Ordering_System/home.jsp HTTP/1.1" 200 3717
