127.0.0.1 - - [04/Jul/2022:23:00:52 +0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:00:55 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:00:55 +0600] "GET /Frozen_Food_Ordering_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:01:33 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:01:42 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:01:44 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:19:52 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:19:52 +0600] "GET /Frozen_Food_Ordering_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:19:56 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:19:56 +0600] "GET /Frozen_Food_Ordering_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:20:29 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:20:45 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:21:07 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:09 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:11 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:11 +0600] "GET /Frozen_Food_Ordering_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:13 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:13 +0600] "GET /Frozen_Food_Ordering_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:22 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:45 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:52 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:22:53 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:23:57 +0600] "GET /Frozen_Food_Ordering_System/signupAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:23:57 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp?msg=invalid HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:24:05 +0600] "GET /Frozen_Food_Ordering_System/signupAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:24:05 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp?msg=invalid HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:24:31 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:46:06 +0600] "GET /Frozen_Food_Ordering_System/signup.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:46:23 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:46:51 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:47:19 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:47:34 +0600] "POST /Frozen_Food_Ordering_System/LoginAction.jsp HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:47:46 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2022:23:51:12 +0600] "POST /Frozen_Food_Ordering_System/signupAction HTTP/1.1" 404 1074
