0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:30:10 +0600] "GET /Frozen_Food_Ordering_System/forgetPassword.jsp HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:30:42 +0600] "GET /Frozen_Food_Ordering_System/forgetPassword.jsp HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:30:43 +0600] "GET /Frozen_Food_Ordering_System/forgetPassword.jsp HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:31:04 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:31:05 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:01 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:18 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:36 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:37 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:37 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:37 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:38 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:44 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:55 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:56 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:56 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:56 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:56 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:56 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:32:57 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:33:50 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:38:47 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:38:47 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:40:01 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:40:01 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:43:25 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:43:47 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:43:47 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:44:09 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:44:51 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:44:51 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:44:58 +0600] "GET /Frozen_Food_Ordering_System/Login.jsp HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:45:09 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:45:13 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:45:33 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:45:33 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:45:56 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:45:56 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:50:34 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:50:54 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:50:54 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:52:43 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:52:45 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:53:01 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:53:01 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:57:42 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:58:02 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:58:02 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:58:22 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:58:22 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:59:56 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:59:56 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:04:27 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:04:47 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:04:47 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:18:20 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:18:33 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:18:35 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:18:39 +0600] "GET /Frozen_Food_Ordering_System/login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:18:40 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:18:58 +0600] "POST /Frozen_Food_Ordering_System/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:18:58 +0600] "GET /Frozen_Food_Ordering_System/forgotPassword.jsp?msg=invalid HTTP/1.1" 200 1359
